kind	group	param	section	subsection	name	value_type	min	max	unit	enum	primary_offset	verified_offsets	known_side_effect_offsets	verified_diff_count	status	confidence	notes	bit_shift	bit_width
program	1	1	Program Common	Program Name	Program Name Char 1	ascii_char	32	127	ascii		0	0		1	verified_transport	pdf_inventory+firmware_sweep
program	1	2	Program Common	Program Name	Program Name Char 2	ascii_char	32	127	ascii		1	1		1	verified_transport	pdf_inventory+firmware_sweep
program	1	3	Program Common	Program Name	Program Name Char 3	ascii_char	32	127	ascii		2	2		1	verified_transport	pdf_inventory+firmware_sweep
program	1	4	Program Common	Program Name	Program Name Char 4	ascii_char	32	127	ascii		3	3		1	verified_transport	pdf_inventory+firmware_sweep
program	1	5	Program Common	Program Name	Program Name Char 5	ascii_char	32	127	ascii		4	4		1	verified_transport	pdf_inventory+firmware_sweep
program	1	6	Program Common	Program Name	Program Name Char 6	ascii_char	32	127	ascii		5	5		1	verified_transport	pdf_inventory+firmware_sweep
program	1	7	Program Common	Program Name	Program Name Char 7	ascii_char	32	127	ascii		6	6		1	verified_transport	pdf_inventory+firmware_sweep
program	1	8	Program Common	Program Name	Program Name Char 8	ascii_char	32	127	ascii		7	7		1	verified_transport	pdf_inventory+firmware_sweep
program	1	9	Program Common	Program Name	Program Name Char 9	ascii_char	32	127	ascii		8	8		1	verified_transport	pdf_inventory+firmware_sweep
program	1	10	Program Common	Program Name	Program Name Char 10	ascii_char	32	127	ascii		9	9		1	verified_transport	pdf_inventory+firmware_sweep
program	1	11	Program Common	Program Name	Program Name Char 11	ascii_char	32	127	ascii		10	10		1	verified_transport	pdf_inventory+firmware_sweep
program	1	12	Program Common	Program Name	Program Name Char 12	ascii_char	32	127	ascii		11	11		1	verified_transport	pdf_inventory+firmware_sweep
program	1	13	Program Common	Program Name	Program Name Char 13	ascii_char	32	127	ascii		12	12		1	verified_transport	pdf_inventory+firmware_sweep
program	1	14	Program Common	Program Name	Program Name Char 14	ascii_char	32	127	ascii		13	13		1	verified_transport	pdf_inventory+firmware_sweep
program	1	15	Program Common	Program Name	Program Name Char 15	ascii_char	32	127	ascii		14	14		1	verified_transport	pdf_inventory+firmware_sweep
program	1	16	Program Common	Program Name	Program Name Char 16	ascii_char	32	127	ascii		15	15		1	verified_transport	pdf_inventory+firmware_sweep
program	1	17	Program Common	Common	Program Category	enum	0	15		HardLeed|SoftLeed|SynthBss|RealBass|GtrPluck|Brass|Reed|Wind|Bell|Keyboard|Perc|Motion|SFX/etc.|Arpeggio|UserGrp1|UserGrp2	16	16		1	verified_transport	pdf_inventory+firmware_sweep+manual_range+bit_sweep	range from Parameter Guide E2: CMN-2 #1..16; byte assumed 0-based; bit layout sweep-verified 2026-08-04 (console packed-bit sweep)	0	4
program	1	18	Program Common	Common	User Category	enum	0	15		HardLeed|SoftLeed|SynthBss|RealBass|GtrPluck|Brass|Reed|Wind|Bell|Keyboard|Perc|Motion|SFX/etc.|Arpeggio|UserGrp1|UserGrp2	16	16		1	verified_transport	pdf_inventory+firmware_sweep+manual_range+bit_sweep	range from Parameter Guide E2: CMN-2 categories; shares offset 16 with Program Category; bit layout sweep-verified 2026-08-04 (console packed-bit sweep)	4	4
program	1	19	Program Common	Common	Oscillator Mode	enum	0	0		SOLO	17	17		1	verified_transport	pdf_inventory+firmware_sweep	Firmware-locked to SOLO; shares byte 17 with reserved p20; bit ownership is not observable
program	1	20	Program Common	Common	reserved	reserved					17	17		1	reserved_verified_transport	pdf_inventory+firmware_sweep
program	1	21	Program Common	Common	Hold	enum	0	1		ON|OFF	17	17		1	verified_transport	pdf_inventory+firmware_sweep+bit_sweep	bit layout sweep-verified 2026-08-04 (console packed-bit sweep)	3	1
program	1	22	Program Common	Common	Key Priority	enum	0	2		LOW|HIGH|LAST	17	17		1	verified_transport	pdf_inventory+firmware_sweep+bit_sweep	bit layout sweep-verified 2026-08-04 (console packed-bit sweep)	4	2
program	1	23	Program Common	Common	Trigger Mode / Retrigger Velocity Control	enum	0	2		MULTI|SINGLE|VELOCITY	17	17		1	verified_transport	pdf_inventory+firmware_sweep+bit_sweep	bit layout sweep-verified 2026-08-04 (console packed-bit sweep)	6	2
program	1	24	Program Common	Common	Threshold Velocity	continuous	1	127			18	18		1	verified_transport	pdf_inventory+firmware_sweep+bit_sweep	bit layout sweep-verified 2026-08-04 (console packed-bit sweep)	0	7
program	1	25	Program Common	Common	Above/Below	enum	0	1		ABOVE|BELOW	18	18		1	verified_transport	pdf_inventory+firmware_sweep+bit_sweep	bit layout sweep-verified 2026-08-04 (console packed-bit sweep)	7	1
program	1	26	Program Common	Common	Scale Key	enum	0	11		C|C#|D|D#|E|F|F#|G|G#|A|A#|B	19	19		1	verified_transport	pdf_inventory+firmware_sweep+bit_sweep	bit layout sweep-verified 2026-08-04 (console packed-bit sweep)	0	4
program	1	27	Program Common	Common	Scale Type	continuous	0	15			19	19		1	verified_transport	pdf_inventory+firmware_sweep+bit_sweep	bit layout sweep-verified 2026-08-04 (console packed-bit sweep)	4	4
program	1	28	Program Common	Common	Random Pitch Intensity	continuous	0	99			20	20		1	verified_transport	pdf_inventory+firmware_sweep
program	1	29	Program Common	Common	reserved	reserved					21	21		1	reserved_verified_transport	pdf_inventory+firmware_sweep
program	1	30	Program Common	EG1	EG1 Start Level	bipolar	-99	+99			22	22		1	verified_transport	pdf_inventory+firmware_sweep
program	1	31	Program Common	EG1	EG1 Attack Time	continuous	0	99			23	23		1	verified_transport	pdf_inventory+firmware_sweep
program	1	32	Program Common	EG1	EG1 Attack Level	bipolar	-99	+99			24	24		1	verified_transport	pdf_inventory+firmware_sweep
program	1	33	Program Common	EG1	EG1 Decay Time	continuous	0	99			25	25		1	verified_transport	pdf_inventory+firmware_sweep
program	1	34	Program Common	EG1	EG1 Break Point	bipolar	-99	+99			26	26		1	verified_transport	pdf_inventory+firmware_sweep
program	1	35	Program Common	EG1	EG1 Slope Time	continuous	0	99			27	27		1	verified_transport	pdf_inventory+firmware_sweep
program	1	36	Program Common	EG1	EG1 Sustain Level	bipolar	-99	+99			28	28		1	verified_transport	pdf_inventory+firmware_sweep
program	1	37	Program Common	EG1	EG1 Release Time	continuous	0	99			29	29		1	verified_transport	pdf_inventory+firmware_sweep
program	1	38	Program Common	EG1	EG1 Release Level	bipolar	-99	+99			30	30		1	verified_transport	pdf_inventory+firmware_sweep
program	1	39	Program Common	EG1	EG1 Time KBD TRK Attack Time	bipolar	-99	+99			31	31		1	verified_transport	pdf_inventory+firmware_sweep
program	1	40	Program Common	EG1	EG1 Time KBD TRK Decay Time	bipolar	-99	+99			32	32		1	verified_transport	pdf_inventory+firmware_sweep
program	1	41	Program Common	EG1	EG1 Time KBD TRK Slope Time	bipolar	-99	+99			33	33		1	verified_transport	pdf_inventory+firmware_sweep
program	1	42	Program Common	EG1	EG1 Time KBD TRK Release Time	bipolar	-99	+99			34	34		1	verified_transport	pdf_inventory+firmware_sweep
